prod_id,prod_desc,prod_long_desc,theme_name,ages,piece_count,set_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating,country,list_price
75823,blah,blahblah,Angry Birds™,6-12,277,Bird Island Egg Heist,2.0,4.0,Average,4.5,4.0,US,29.99
75822,blah,blahblah,Angry Birds™,6-12,168,Piggy Plane Attack,2.0,4.0,Easy,5.0,4.0,US,19.99
75821,blah,blahblah,Angry Birds™,6-12,74,Piggy Car Escape,11.0,4.3,Easy,4.3,4.1,US,12.99
21030,blah,blahblah,Architecture,12+,1032,United States Capitol Building,23.0,3.6,Average,4.6,4.3,US,99.99
21035,blah,blahblah,Architecture,12+,744,Solomon R. Guggenheim Museum®,14.0,3.2,Challenging,4.6,4.1,US,79.99
21039,blah,blahblah,Architecture,12+,597,Shanghai,7.0,3.7,Average,4.9,4.4,US,59.99
21028,blah,blahblah,Architecture,12+,598,New York City,37.0,3.7,Average,4.2,4.1,US,59.99
21029,blah,blahblah,Architecture,12+,780,Buckingham Palace,24.0,4.4,Average,4.7,4.3,US,49.99
21034,blah,blahblah,Architecture,12+,468,London,23.0,3.6,Average,4.7,4.1,US,39.99
21033,blah,blahblah,Architecture,12+,444,Chicago,11.0,3.6,Average,4.8,4.5,US,39.99
21036,blah,blahblah,Architecture,12+,386,Arc de Triomphe,14.0,4.1,Average,4.4,3.6,US,39.99
21019,blah,blahblah,Architecture,12+,321,The Eiffel Tower,53.0,3.2,Average,4.6,4.4,US,34.99
21032,blah,blahblah,Architecture,12+,361,Sydney,7.0,4.2,Easy,4.6,4.2,US,29.99
17101,blah,blahblah,BOOST,7-12,847,BOOST Creative Toolbox,63.0,3.8,Average,3.4,3.5,US,159.99
41597,blah,blahblah,BrickHeadz,10+,708,Go Brick Me,13.0,4.7,Average,4.8,4.8,US,29.99
41614,blah,blahblah,BrickHeadz,10+,234,Owen & Blue,1.0,3.0,Easy,5.0,5.0,US,19.99
41613,blah,blahblah,BrickHeadz,10+,160,Mr. Incredible & Frozone,1.0,5.0,Very Easy,5.0,5.0,US,19.99
41609,blah,blahblah,BrickHeadz,10+,149,Chewbacca™,1.0,2.0,Very Easy,3.0,4.0,US,9.99
41608,blah,blahblah,BrickHeadz,10+,141,Han Solo™,1.0,2.0,Very Easy,4.0,4.0,US,9.99
41604,blah,blahblah,BrickHeadz,10+,101,Iron Man MK50,3.0,4.0,Average,4.7,4.5,US,9.99
41605,blah,blahblah,BrickHeadz,10+,105,Thanos,2.0,3.0,Easy,5.0,5.0,US,9.99
41606,blah,blahblah,BrickHeadz,10+,113,Star-Lord,1.0,5.0,Easy,5.0,5.0,US,9.99
41607,blah,blahblah,BrickHeadz,10+,136,Gamora,1.0,,nan,5.0,,US,9.99
41485,blah,blahblah,BrickHeadz,10+,91,Finn,2.0,3.0,Easy,4.5,4.0,US,9.99
40270,blah,blahblah,BrickHeadz,10+,140,Valentine's Bee,7.0,3.2,Easy,4.9,4.7,US,9.99
